;;;;;;;;;;;;;x
MAK_fascist;The Fascist Faction;Faction fasciste;Die faschistische Fraktion;;La FacciÛn Fascista;;;;;;;;;x
JOH_conservative;Royal Faction;Faction royale;Kˆnigsfraktion;;FacciÛn Real;;;;;;;;;x
JOH_liberal;The Liberal Faction;Faction libÈrale;Die liberale Fraktion;;La FacciÛn Liberal;;;;;;;;;x
JOH_reactionary;The Nationalist Faction;Faction nationaliste;Die nationalistische Fraktion;;La FacciÛn Nacionalista;;;;;;;;;x
JOH_anarcho_liberal;The Radical Faction;Faction radicale;Die radikale Fraktion;;La FacciÛn Radical;;;;;;;;;x
JOH_socialist;The Socialist Faction;Faction socialiste;Die sozialistische Fraktion;;La FacciÛn Socialista;;;;;;;;;x
JOH_communist;The Communist Faction;Faction communiste;Die kommunistische Fraktion;;La FacciÛn Comunista;;;;;;;;;x
JOH_fascist;The Fascist Faction;Faction fasciste;Die faschistische Fraktion;;La FacciÛn Fascista;;;;;;;;;x
MAN_communist;Communist Labor Party;Communiste;Kommunistisch;;Comunista;;;;;;;;;x
MAN_liberal;Tammany Hall;Tammany Hall;Tammany Hall;;Tammany Hall;;;;;;;;;x
MAN_conservative;Union League Club;RÈunioniste;Reunionisten;;Reunionista;;;;;;;;;x
MAN_socialist;United Labor Party;Communiste indÈpendant;Unabh‰ngige Kommunisten;;Comunista Independiente;;;;;;;;;x
MAN_reactionary;Fifth Avenue;Nationaliste;Nationalisten;;Nacionalista;;;;;;;;;x
MAN_anarcho_liberal;Wall Street;Radical;Radikale;;Radical;;;;;;;;;x
MAN_fascist;Order of the Dark Knight;Fasciste;Faschisten;;Fascista;;;;;;;;;x
MEC_liberal;Liberaldem. Partei;Liberaldem. Partei;Liberaldem. Partei;;Liberaldem. Partei;;;;;;;;;x
MEC_conservative;Zentrumspartei;Zentrumspartei;Zentrumspartei;;Zentrumspartei;;;;;;;;;x
MEC_liberal_2;Nationalliberale ;Nationalliberale ;Nationalliberale ;;Nationalliberale ;;;;;;;;;x
MEC_liberal_3;Freisinnige Partei;Freisinnige Partei;Freisinnige Partei;;Freisinnige Partei;;;;;;;;;x
MEC_socialist;Deutscher Arbeiterverein;Deutscher Arbeiterverein;Deutscher Arbeiterverein;;Deutscher Arbeiterverein;;;;;;;;;x
MEC_socialist_2;Sozialdem. Arbeiterpartei ;Sozialdem. Arbeiterpartei ;Sozialdem. Arbeiterpartei ;;Sozialdem. Arbeiterpartei ;;;;;;;;;x
MEC_socialist_3;Sozial. Arbeiterpartei ;Sozial. Arbeiterpartei ;Sozial. Arbeiterpartei ;;Sozial. Arbeiterpartei ;;;;;;;;;x
MEC_reactionary;Nationale Partei;Nationale Partei;Nationale Partei;;Nationale Partei;;;;;;;;;x
MEC_conservative_2;Konservative Partei;Konservative Partei;Konservative Partei;;Konservative Partei;;;;;;;;;x
MEC_conservative_3;Christsoz. Arbeiterpartei;Christsoz. Arbeiterpartei;Christsoz. Arbeiterpartei;;Christsoz. Arbeiterpartei;;;;;;;;;x
MEC_anarcho_liberal;Radikale Arbeiterpartei;Arbeieterpartei radical;Radical Arbeiterpartei;;Radical Arbeieterpartei;;;;;;;;;x
MEC_communist;Kommunistische Arbeiterpartei;Arbeiterpartei communiste;Kommunistische Arbeiterpartei;;Communist Arbeiterpartei;;;;;;;;;x
MEC_fascist;NSDP;NSDP;NSDP;;NSDP;;;;;;;;;x
MEI_liberal;Liberaldem. Partei;Liberaldem. Partei;Liberaldem. Partei;;Liberaldem. Partei;;;;;;;;;x
MEI_conservative;Zentrumspartei;Zentrumspartei;Zentrumspartei;;Zentrumspartei;;;;;;;;;x
MEI_liberal_2;Nationalliberale ;Nationalliberale ;Nationalliberale ;;Nationalliberale ;;;;;;;;;x
MEI_liberal_3;Freisinnige Partei;Freisinnige Partei;Freisinnige Partei;;Freisinnige Partei;;;;;;;;;x
MEI_socialist;Deutscher Arbeiterverein;Deutscher Arbeiterverein;Deutscher Arbeiterverein;;Deutscher Arbeiterverein;;;;;;;;;x
MEI_socialist_2;Sozialdem. Arbeiterpartei ;Sozialdem. Arbeiterpartei ;Sozialdem. Arbeiterpartei ;;Sozialdem. Arbeiterpartei ;;;;;;;;;x
MEI_socialist_3;Sozial. Arbeiterpartei ;Sozial. Arbeiterpartei ;Sozial. Arbeiterpartei ;;Sozial. Arbeiterpartei ;;;;;;;;;x
MEI_reactionary;Nationale Partei;Nationale Partei;Nationale Partei;;Nationale Partei;;;;;;;;;x
MEI_conservative_2;Konservative Partei;Konservative Partei;Konservative Partei;;Konservative Partei;;;;;;;;;x
MEI_conservative_3;Christsoz. Arbeiterpartei;Christsoz. Arbeiterpartei;Christsoz. Arbeiterpartei;;Christsoz. Arbeiterpartei;;;;;;;;;x
MEI_anarcho_liberal;Radikale Arbeiterpartei;Arbeiterpartei radical;Radikale Arbeiterpartei;;Radical Arbeiterpartei;;;;;;;;;x
MEI_communist;Kommunistische Arbeiterpartei;Communiste Arneiterpartei;Communist Arbeiterpartei;;Communist Arneiterpartei;;;;;;;;;x
MEI_fascist;NSDP;NSDP;NSDP;;NSDP;;;;;;;;;x
MEW_conservative;Royal Faction;Faction royale;Kˆnigsfraktion;;FacciÛn Real;;;;;;;;;x
MEW_liberal;The Liberal Faction;Faction libÈrale;Die liberale Fraktion;;La FacciÛn Liberal;;;;;;;;;x
MEW_reactionary;The Nationalist Faction;Faction nationaliste;Die nationalistische Fraktion;;La FacciÛn Nacionalista;;;;;;;;;x
MEW_anarcho_liberal;The Radical Faction;Faction radicale;Die radikale Fraktion;;La FacciÛn Radical;;;;;;;;;x
MEW_socialist;The Socialist Faction;Faction socialiste;Die sozialistische Fraktion;;La FacciÛn Socialista;;;;;;;;;x
MEW_communist;The Communist Faction;Faction communiste;Die kommunistische Fraktion;;La FacciÛn Comunista;;;;;;;;;x
MEW_fascist;The Fascist Faction;Faction fasciste;Die faschistische Fraktion;;La FacciÛn Fascista;;;;;;;;;x
MEX_conservative;Partido Conservador;Partido Conservador;Partido Conservador;;Partido Conservador;;;;;;;;;x
MEX_liberal;Partido Liberal;Partido Liberal;Partido Liberal;;Partido Liberal;;;;;;;;;x
MEX_anarcho_liberal;Partido Federalista;Partido Federalista;Partido Federalista;;Partido Federalista;;;;;;;;;x
MEX_conservative_2;Partido Moderado Liberal;Partido Moderado Liberal;Partido Moderado Liberal;;Partido Moderado Liberal;;;;;;;;;x
MEX_liberal_2;Partido Radical Liberal;Partido Radical Liberal;Partido Radical Liberal;;Partido Radical Liberal;;;;;;;;;x
MEX_liberal_3;Partido Progresista;Partido Progresista;Partido Progresista;;Partido Progresista;;;;;;;;;x
MEX_conservative_3;Partido Constitucionalista;Partido Constitucionalista;Partido Constitucionalista;;Partido Constitucionalista;;;;;;;;;x
MEX_liberal_4;Partido Antireelecionista;Partido Antireelecionista;Partido Antireelecionista;;Partido Antireelecionista;;;;;;;;;x
MEX_reactionary;Partido Imperialista;Partido Imperialista;Partido Imperialista;;Partido Imperialista;;;;;;;;;x
MEX_socialist;PRI;Partido socialiste;Partido Socialist;;Partido Socialista;;;;;;;;;x
MEX_communist;Zapatistas;Partido communiste;Partido Communist;;Partido Comunista;;;;;;;;;x
MEX_fascist;UniÛn Nacional Sinarquista;Partido fasciste;Partido Fascist;;Partido Fascista;;;;;;;;;x
MOD_reactionary;Restaurazionisti;Ristorazionista;Ristorazionista;;Ristorazionista;;;;;;;;;x
MOD_conservative;Moderati;Moderati;Moderati;;Moderati;;;;;;;;;x
MOD_liberal;Reformisti;Reformisti;Reformisti;;Reformisti;;;;;;;;;x
MOD_liberal_2;Liberale;Liberale;Liberali;;Liberale;;;;;;;;;x
MOD_socialist;Socialisti;Sozialisti;Sozialisti;;Sozialisti;;;;;;;;;x
MOD_conservative_2;Popolari;Popolari;Popolari;;Popolari;;;;;;;;;x
MOD_anarcho_liberal;Radicali;Radical;Radikali;;Radical;;;;;;;;;x
MOD_communist;Comunisti;Communistes;Communisti;;Comunista;;;;;;;;;x
MOD_fascist;Fascisti;Fasciste;Fascisti;;Fascista;;;;;;;;;x
MOL_reactionary;Partida Boiereasca;Partida Boiereasca;Partida Boiereasca;;Partida Boiereasca;;;;;;;;;x
MOL_liberal;Partida Nationala;Partida Nationala;Partida Nationala;;Partida Nationala;;;;;;;;;x
MOL_liberal_2;Partidul Liberal;Partidul libÈral;Partidul Liberal;;Partidul Liberal;;;;;;;;;x
MOL_conservative;Partidul Conservator;Partidul Conservator;Partidul Conservator;;Partidul Conservator;;;;;;;;;x
MOL_conservative_2;Partidul Taranesc;Partidul Taranesc;Partidul Taranesc;;Partidul Taranesc;;;;;;;;;x
MOL_anarcho_liberal;Partidul Radical;Partidul radical;Partidul Radical;;Partidul Radical;;;;;;;;;x
MOL_socialist;Partidul Social  Democrat;Partidul social-dÈmocrate;Partidul Social Democrat;;Partidul Social Democrat;;;;;;;;;x
MOL_conservative_3;Partidul Conservator Democrat;Partidul conservateur-dÈmocrate;Partidul Conservator Democrat;;Partidul Conservator Democrat;;;;;;;;;x
MOL_reactionary_2;Partidul Nationalist Democrat;Partidul nationaliste-dÈmocrate;Partidul Nationalist Democrat;;Partidul Nationalist Democrat;;;;;;;;;x
MOL_communist;Partidul Communist;Partidul communiste;Partidul Communist;;Partidul Communist;;;;;;;;;x
MOL_fascist;Garda de Fier;Garda de Fier;Garda de Fier;;Garda de Fier;;;;;;;;;x
MON_conservative;Royal Faction;Faction royale;Kˆnigsfraktion;;FacciÛn Real;;;;;;;;;x
MON_liberal;The Liberal Faction;Faction libÈrale;Die liberale Fraktion;;La FacciÛn Liberal;;;;;;;;;x
MON_reactionary;The Nationalist Faction;Faction nationaliste;Die nationalistische Fraktion;;La FacciÛn Nacionalista;;;;;;;;;x
MON_anarcho_liberal;The Radical Faction;Faction radicale;Die radikale Fraktion;;La FacciÛn Radical;;;;;;;;;x
MON_socialist;The Socialist Faction;Faction socialiste;Die sozialistische Fraktion;;La FacciÛn Socialista;;;;;;;;;x
MON_communist;The Communist Faction;Faction communiste;Die kommunistische Fraktion;;La FacciÛn Comunista;;;;;;;;;x
MON_fascist;The Fascist Faction;Faction fasciste;Die faschistische Fraktion;;La FacciÛn Fascista;;;;;;;;;x
MOR_conservative;Royal Faction;Faction royale;Kˆnigsfraktion;;FacciÛn Real;;;;;;;;;x
MOR_liberal;The Liberal Faction;Faction libÈrale;Die liberale Fraktion;;La FacciÛn Liberal;;;;;;;;;x
MOR_reactionary;The Nationalist Faction;Faction nationaliste;Die nationalistische Fraktion;;La FacciÛn Nacionalista;;;;;;;;;x
MOR_anarcho_liberal;The Radical Faction;Faction radicale;Die radikale Fraktion;;La FacciÛn Radical;;;;;;;;;x
MOR_socialist;The Socialist Faction;Faction socialiste;Die sozialistische Fraktion;;La FacciÛn Socialista;;;;;;;;;x
MOR_communist;The Communist Faction;Faction communiste;Die kommunistische Fraktion;;La FacciÛn Comunista;;;;;;;;;x
MOR_fascist;The Fascist Faction;Faction fasciste;Die faschistische Fraktion;;La FacciÛn Fascista;;;;;;;;;x
MTC_conservative;Conservative Party;Faction royale;Kˆnigsfraktion;;FacciÛn Real;;;;;;;;;x
MTC_liberal;Liberal Party;Faction libÈrale;Die liberale Fraktion;;La FacciÛn Liberal;;;;;;;;;x
MTC_reactionary;Hudson's Bay Company;Faction nationaliste;Die nationalistische Fraktion;;La FacciÛn Nacionalista;;;;;;;;;x
MTC_anarcho_liberal;Exovedate;Faction radicale;Die radikale Fraktion;;La FacciÛn Radical;;;;;;;;;x
MTC_socialist;CCF;Faction socialiste;Die sozialistische Fraktion;;La FacciÛn Socialista;;;;;;;;;x
MTC_communist;One Big Union;Faction communiste;Die kommunistische Fraktion;;La FacciÛn Comunista;;;;;;;;;x
MTC_fascist;Metis Union of Fascists;Faction fasciste;Die faschistische Fraktion;;La FacciÛn Fascista;;;;;;;;;x
MUG_absolute_monarchy;Mughal Empire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x,,,,,,,,,
MUG_prussian_constitutionalism;Mughal Empire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x,,,,,,,,,
MUG_hms_government;Mughal Empire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x,,,,,,,,,
MUG_fascist_dictatorship;Gurkani Republic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x,,,,,,,,,
MUG_proletarian_dictatorship;People's Republic of Mughalistan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x,,,,,,,,,
MUG_conservative;Mir Saman;;;;;;;;;;;;;;;;;;;;;;;x;;;;
MUG_liberal;Hanafi;;;;;;;;;;;;;;;;;;;;;x;;;;
MUG_reactionary;Mir Bakshi;;;;;;;;;;;;;;;;;;;;;;;x;;;;
MUG_anarcho_liberal;The Radical Faction;Faction radicale;Die radikale Fraktion;;La FacciÛn Radical;;;;;;;;;x
MUG_socialist;The Socialist Faction;Faction socialiste;Die sozialistische Fraktion;;La FacciÛn Socialista;;;;;;;;;x
MUG_communist;The Communist Faction;Faction communiste;Die kommunistische Fraktion;;La FacciÛn Comunista;;;;;;;;;x
MUG_fascist;The Fascist Faction;Faction fasciste;Die faschistische Fraktion;;La FacciÛn Fascista;;;;;;;;;x
MYS_conservative;Royal Faction;Faction royale;Kˆnigsfraktion;;FacciÛn Real;;;;;;;;;x
MYS_liberal;The Liberal Faction;Faction libÈrale;Die liberale Fraktion;;La FacciÛn Liberal;;;;;;;;;x
MYS_reactionary;The Nationalist Faction;Faction nationaliste;Die nationalistische Fraktion;;La FacciÛn Nacionalista;;;;;;;;;x
MYS_anarcho_liberal;The Radical Faction;Faction radicale;Die radikale Fraktion;;La FacciÛn Radical;;;;;;;;;x
MYS_socialist;The Socialist Faction;Faction socialiste;Die sozialistische Fraktion;;La FacciÛn Socialista;;;;;;;;;x
MYS_communist;The Communist Faction;Faction communiste;Die kommunistische Fraktion;;La FacciÛn Comunista;;;;;;;;;x
MYS_fascist;The Fascist Faction;Faction fasciste;Die faschistische Fraktion;;La FacciÛn Fascista;;;;;;;;;x
NAG_conservative;Royal Faction;Faction royale;Kˆnigsfraktion;;FacciÛn Real;;;;;;;;;x
NAG_liberal;The Liberal Faction;Faction libÈrale;Die liberale Fraktion;;La FacciÛn Liberal;;;;;;;;;x
NAG_reactionary;The Nationalist Faction;Faction nationaliste;Die nationalistische Fraktion;;La FacciÛn Nacionalista;;;;;;;;;x
NAG_anarcho_liberal;The Radical Faction;Faction radicale;Die radikale Fraktion;;La FacciÛn Radical;;;;;;;;;x
NAG_socialist;The Socialist Faction;Faction socialiste;Die sozialistische Fraktion;;La FacciÛn Socialista;;;;;;;;;x
NAG_communist;The Communist Faction;Faction communiste;Die kommunistische Fraktion;;La FacciÛn Comunista;;;;;;;;;x
NAG_fascist;The Fascist Faction;Faction fasciste;Die faschistische Fraktion;;La FacciÛn Fascista;;;;;;;;;x
NAL_conservative;Voortrekker Partei;Voortrekker Partei;Voortrekker Partei;;Voortrekker Partei;;;;;;;;;x
NAL_conservative_2;Boeren Partei;Boeren Partei;Boeren Partei;;Boeren Partei;;;;;;;;;x
NAL_liberal;The Liberal Party;Parti libÈral;Die liberale Partei;;El Partido Liberal;;;;;;;;;x
NAL_reactionary;The Nationalist Party;Parti nationaliste;Die nationalistische Partei;;El Partido Nacionalista;;;;;;;;;x
NAL_anarcho_liberal;The Radical Party;Parti radical;Die radikale Partei;;El Partido Radical;;;;;;;;;x
NAL_socialist;The Socialist Party;Parti socialiste;Die sozialistische Partei;;El Partido Socialista;;;;;;;;;x
NAL_communist;The Communist Party;Parti communiste;Die kommunistische Partei;;El Partido Comunista;;;;;;;;;x
NAL_fascist;The Fascist Party;Parti fasciste;Die faschistische Partei;;El Partido Fascista;;;;;;;;;x
NAS_liberal;Liberaldem. Partei;Liberaldem. Partei;Liberaldem. Partei;;Liberaldem. Partei;;;;;;;;;x
NAS_conservative;Zentrumspartei;Zentrumspartei;Zentrumspartei;;Zentrumspartei;;;;;;;;;x
NAS_liberal_2;Nationalliberale ;Nationalliberale ;Nationalliberale ;;Nationalliberale ;;;;;;;;;x
NAS_liberal_3;Freisinnige Partei;Freisinnige Partei;Freisinnige Partei;;Freisinnige Partei;;;;;;;;;x
NAS_socialist;Deutscher Arbeiterverein;Deutscher Arbeiterverein;Deutscher Arbeiterverein;;Deutscher Arbeiterverein;;;;;;;;;x
NAS_socialist_2;Sozialdem. Arbeiterpartei ;Sozialdem. Arbeiterpartei ;Sozialdem. Arbeiterpartei ;;Sozialdem. Arbeiterpartei ;;;;;;;;;x
NAS_socialist_3;Sozial. Arbeiterpartei ;Sozial. Arbeiterpartei ;Sozial. Arbeiterpartei ;;Sozial. Arbeiterpartei ;;;;;;;;;x
NAS_reactionary;Nationale Partei;Nationale Partei;Nationale Partei;;Nationale Partei;;;;;;;;;x
NAS_conservative_2;Konservative Partei;Konservative Partei;Konservative Partei;;Konservative Partei;;;;;;;;;x
NAS_conservative_3;Christsoz. Arbeiterpartei;Christsoz. Arbeiterpartei;Christsoz. Arbeiterpartei;;Christsoz. Arbeiterpartei;;;;;;;;;x
NAS_anarcho_liberal;Radikale Arbeiterpartei;Arbeiterpartei radical;Radikale Arbeiterpartei;;Radical Arbeiterpartei;;;;;;;;;x
NAS_communist;Kommunistische Arbeiterpartei;Arbeiterpartei communiste;Kommunistische Arbeiterpartei;;Communist Arbeiterpartei;;;;;;;;;x
NAS_fascist;NSDP;NSDP;NSDP;;NSDP;;;;;;;;;x
NEJ_conservative;Royal Faction;Faction royale;Kˆnigsfraktion;;FacciÛn Real;;;;;;;;;x
NEJ_liberal;The Liberal Faction;Faction libÈrale;Die liberale Fraktion;;La FacciÛn Liberal;;;;;;;;;x
NEJ_reactionary;The Nationalist Faction;Faction nationaliste;Die nationalistische Fraktion;;La FacciÛn Nacionalista;;;;;;;;;x
NEJ_anarcho_liberal;The Radical Faction;Faction radicale;Die radikale Fraktion;;La FacciÛn Radical;;;;;;;;;x
NEJ_socialist;The Socialist Faction;Faction socialiste;Die sozialistische Fraktion;;La FacciÛn Socialista;;;;;;;;;x
NEJ_communist;The Communist Faction;Faction communiste;Die kommunistische Fraktion;;La FacciÛn Comunista;;;;;;;;;x
NEJ_fascist;The Fascist Faction;Faction fasciste;Die faschistische Fraktion;;La FacciÛn Fascista;;;;;;;;;x
NEN_liberal;Republican;FÈdÈraliste;Federalist;;Federalistas;;;;;;;;;x
NEN_conservative;Federalist;DÈmocratique;Demokraten;;DemÛcratas;;;;;;;;;x
NEN_liberal_2;Progressive;Progressiste;Progressive;;Progresistas;;;;;;;;;x
NEN_socialist;Utopian Socialist;Socialiste uni;Vereinigte Sozialisten;;Socialistas Unidos;;;;;;;;;x
NEN_reactionary;Puritans;Nationaliste;Nationalisten;;Nacionalista;;;;;;;;;x
NEN_anarcho_liberal;Thoreauite;Radical;Radikale;;Radical;;;;;;;;;x
NEN_communist;Bread and Roses;Communiste;Kommunisten;;Comunista;;;;;;;;;x
NEN_fascist;Vitalist;Fasciste;Faschisten;;Fascista;;;;;;;;;x
NEP_conservative;Royal Faction;Faction royale;Kˆnigsfraktion;;FacciÛn Real;;;;;;;;;x
NEP_liberal;The Liberal Faction;Faction libÈrale;Die liberale Fraktion;;La FacciÛn Liberal;;;;;;;;;x
NEP_reactionary;The Nationalist Faction;Faction nationaliste;Die nationalistische Fraktion;;La FacciÛn Nacionalista;;;;;;;;;x
NEP_anarcho_liberal;The Radical Faction;Faction radicale;Die radikale Fraktion;;La FacciÛn Radical;;;;;;;;;x
NEP_socialist;The Socialist Faction;Faction socialiste;Die sozialistische Fraktion;;La FacciÛn Socialista;;;;;;;;;x
NEP_communist;The Communist Faction;Faction communiste;Die kommunistische Fraktion;;La FacciÛn Comunista;;;;;;;;;x
NEP_fascist;The Fascist Faction;Faction fasciste;Die faschistische Fraktion;;La FacciÛn Fascista;;;;;;;;;x
NEW_liberal;Liberal Party;Parti libÈral;Liberal Party;;Partido Liberal;;;;;;;;;x
NEW_conservative;Conservative Party;Parti conservateur;Conservative Party;;Partido Conservador;;;;;;;;;x
NEW_socialist;Fisherman's Protective Union;Fisherman's Protective Union;Fisherman's Protective Union;;UniÛn Solidaria de Pescadores;;;;;;;;;x
NEW_reactionary;Tory Party;Parti nationaliste;Nationalist Party;;Partido Nacionalista;;;;;;;;;x
NEW_anarcho_liberal;People's Party;Parti radical;Radical Party;;Partido Radical;;;;;;;;;x
NEW_communist;Communist Party;Faction communiste;The Communist Faction;;La FacciÛn Comunista;;;;;;;;;x
NEW_fascist;United Newfoundland Party;Faction fasciste;Die faschistische Fraktion;;La FacciÛn Fascista;;;;;;;;;x
NGF_liberal;Liberaldem. Partei;Liberaldem. Partei;Liberaldem. Partei;;Liberaldem. Partei;;;;;;;;;x
NGF_conservative;Zentrumspartei;Zentrumspartei;Zentrumspartei;;Zentrumspartei;;;;;;;;;x
NGF_liberal_2;Nationalliberale ;Nationalliberale ;Nationalliberale ;;Nationalliberale ;;;;;;;;;x
NGF_liberal_3;Freisinnige Partei;Freisinnige Partei;Freisinnige Partei;;Freisinnige Partei;;;;;;;;;x
NGF_socialist;Deutscher Arbeiterverein;Deutscher Arbeiterverein;Deutscher Arbeiterverein;;Deutscher Arbeiterverein;;;;;;;;;x
NGF_socialist_2;Sozialdem. Arbeiterpartei ;Sozialdem. Arbeiterpartei ;Sozialdem. Arbeiterpartei ;;Sozialdem. Arbeiterpartei ;;;;;;;;;x
NGF_socialist_3;Sozial. Arbeiterpartei ;Sozial. Arbeiterpartei ;Sozial. Arbeiterpartei ;;Sozial. Arbeiterpartei ;;;;;;;;;x
NGF_reactionary;Nationale Partei;Nationale Partei;Nationale Partei;;Nationale Partei;;;;;;;;;x
NGF_conservative_2;Konservative Partei;Konservative Partei;Konservative Partei;;Konservative Partei;;;;;;;;;x
NGF_conservative_3;Christsoz. Arbeiterpartei;Christsoz. Arbeiterpartei;Christsoz. Arbeiterpartei;;Christsoz. Arbeiterpartei;;;;;;;;;x
NGF_anarcho_liberal;Radikale Arbeiterpartei;Arbeiterpartei radical;Radikale Arbeiterpartei;;Radical Arbeiterpartei;;;;;;;;;x
NGF_communist;Kommunistische Arbeiterpartei;Arbeiterpartei communiste;Kommunistische Arbeiterpartei;;Communist Arbeiterpartei;;;;;;;;;x
NGF_fascist;NSDP;NSDP;NSDP;;NSDP;;;;;;;;;x
NIC_conservative;Legitimists;Partido Conservador;Partido Conservador;;Partido Conservador;;;;;;;;;x
NIC_conservative2;Partido Conservador;Partido Conservador;Partido Conservador;;Partido Conservador;;;;;;;;;x
NIC_liberal;Partido Liberal;Partido Liberal;Partido Liberal;;Partido Liberal;;;;;;;;;x
NIC_reactionary;Granada Oligarchy;Partido nationaliste;Partido Nationalist;;Partido Nationalista;;;;;;;;;x
NIC_anarcho_liberal;Zelayistas;Partido Radical;Partido Radical;;Partido Radical;;;;;;;;;x
NIC_socialist;Sandinistas;Partido socialiste;Partido Socialist;;Partido Socialista;;;;;;;;;x
NIC_communist;Partido Socialista Nicarag¸ense;Partido communiste;Partido Communist;;Partido Comunista;;;;;;;;;x
NIC_fascist;Partido Liberal Nacionalista;Partido fasciste;Partido Fascist;;Partido Fascista;;;;;;;;;x
NIC_liberal2;Partido Democr·tico;Partido Liberal;Partido Liberal;;Partido Liberal;;;;;;;;;x
NIC_liberal3;Walker's Filibusters;;;;;;;;;;;;;x
NIC_reactionary2;Walker's Filibusters;;;;;;;;;;;;;x
NIP_reactionary;Shogunate Faction;Faction Shogunate;Shogunat-Fraktion;;FacciÛn del Shogunato;;;;;;;;;x
NIP_conservative;Court Faction;Faction de la cour;Gericht-Fraktion;;FacciÛn de la Corte;;;;;;;;;x
NIP_conservative_2;Imperialist Faction;Faction impÈrialiste;Imperiale Fraktion;;FacciÛn Imperialista;;;;;;;;;x
NIP_reactionary_2;Nationalist Faction;Faction nationaliste;Nationalistische Fraktion;;FacciÛn Nacionalista;;;;;;;;;x
NIP_conservative_3;Conservative Faction;Faction conservatrice;Konservative Fraktion;;FacciÛn Conservadora;;;;;;;;;x
NIP_liberal;Liberal Faction;Faction libÈrale;Liberale Fraktion;;FacciÛn Liberal;;;;;;;;;x
NIP_socialist;Marxist Faction;Faction marxiste;Marxistische Fraktion;;FacciÛn Marxista;;;;;;;;;x
NIP_anarcho_liberal;Radical Faction;Faction radicale;Radikale Fraktion;;FacciÛn Radical;;;;;;;;;x
NIP_communist;Communist Faction;Faction communiste;Kommunistische Fraktion;;FacciÛn Comunista;;;;;;;;;x
NIP_fascist;Fascist Faction;Faction fasciste;Faschistische Fraktion;;FacciÛn Fascista;;;;;;;;;x
NOR_liberal;Venstre;Venstre;Venstre;;Venstre;;;;;;;;;x
NOR_conservative;H¯yre;H¯yre;H¯yre;;H¯yre;;;;;;;;;x
NOR_socialist;Norske Arbeiderparti;Norske Arbeiderparti;Norske Arbeiderparti;;Norske Arbeiderparti;;;;;;;;;x
NOR_liberal_2;Arbeiderdemokratene ;Arbeiderdemokratene ;Arbeiderdemokratene ;;Arbeiderdemokratene ;;;;;;;;;x
NOR_liberal_3;Frisinnede Venstre ;Frisinnede Venstre ;Frisinnede Venstre ;;Frisinnede Venstre ;;;;;;;;;x
NOR_liberal_4;Samlingspartiet ;Samlingspartiet ;Samlingspartiet ;;Samlingspartiet ;;;;;;;;;x
NOR_liberal_5;Moderate Venstre;Moderate Venstre;Moderate Venstre;;Moderate Venstre;;;;;;;;;x
NOR_liberal_6;Bondevennene ;Bondevennene ;Bondevennene ;;Bondevennene ;;;;;;;;;x
NOR_conservative_2;Embedsmennene ;Embedsmennene ;Embedsmennene ;;Embedsmennene ;;;;;;;;;x
NOR_anarcho_liberal;Radicals;Radicaux;Radikale;;Radicales;;;;;;;;;x
NOR_communist;Communists;Communistes;Kommunisten;;Comunistas;;;;;;;;;x
NOR_fascist;Nasjonal Samling;Nasjonal Samling;Nasjonal Samling;;Nasjonal Samling;;;;;;;;;x
NWZ_liberal;Liberal;Liberal;Liberal;;Liberales;;;;;;;;;x
NWZ_conservative;Conservative;Conservateur;Konservativ;;Conservadores;;;;;;;;;x
NWZ_socialist;Labour;Travailliste;Labour;;Laboristas;;;;;;;;;x
NWZ_communist;Social Democratic;Social-dÈmocrate;Social Democratic;;SocialdemÛcratas;;;;;;;;;x
NWZ_reactionary;Nationalist;Nationaliste;Nationalistisch;;Nacionalista;;;;;;;;;x
NWZ_anarcho_liberal;Radical;Radical;Radikal;;Radical;;;;;;;;;x
NWZ_fascist;Fascist;Fasciste;Faschistisch;;Fascista;;;;;;;;;x
OLD_liberal;Liberaldem. Partei;Liberaldem. Partei;Liberaldem. Partei;;Liberaldem. Partei;;;;;;;;;x
OLD_conservative;Zentrumspartei;Zentrumspartei;Zentrumspartei;;Zentrumspartei;;;;;;;;;x
OLD_liberal_2;Nationalliberale ;Nationalliberale ;Nationalliberale ;;Nationalliberale ;;;;;;;;;x
OLD_liberal_3;Freisinnige Partei;Freisinnige Partei;Freisinnige Partei;;Freisinnige Partei;;;;;;;;;x
OLD_socialist;Deutscher Arbeiterverein;Deutscher Arbeiterverein;Deutscher Arbeiterverein;;Deutscher Arbeiterverein;;;;;;;;;x
OLD_socialist_2;Sozialdem. Arbeiterpartei ;Sozialdem. Arbeiterpartei ;Sozialdem. Arbeiterpartei ;;Sozialdem. Arbeiterpartei ;;;;;;;;;x
OLD_socialist_3;Sozial. Arbeiterpartei ;Sozial. Arbeiterpartei ;Sozial. Arbeiterpartei ;;Sozial. Arbeiterpartei ;;;;;;;;;x
